adult-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
adult-alpha_1-beta_1-gamma_1,1571998825,57,-0.001,0.5101,0.0,1.0,0.511,0.67
adult-alpha_1-beta_1-gamma_1,1571998833,58,0.4893,0.9877,0.0,1.0,0.4985,0.83
adult-alpha_1-beta_1-gamma_1,1571998840,59,0.1432,0.627,0.0,1.0,0.4838,0.67
adult-alpha_1-beta_1-gamma_1,1571998847,60,0.1302,0.5132,0.0,1.0,0.383,0.83
adult-alpha_1-beta_1-gamma_1,1571998854,61,-0.0705,1.0114,0.0,1.0,1.0819,0.5
adult-alpha_1-beta_1-gamma_1,1571998861,62,0.1659,0.8806,0.0,1.0,0.7147,0.67
adult-alpha_1-beta_1-gamma_1,1571998869,63,-0.1666,0.4477,0.0,1.0,0.6143,0.5
adult-alpha_1-beta_1-gamma_1,1571998876,64,0.0559,0.4522,0.0,1.0,0.3963,1.0
adult-alpha_1-beta_1-gamma_1,1571998883,65,0.4396,0.9163,0.0,1.0,0.4767,0.5
adult-alpha_1-beta_1-gamma_1,1571998890,66,1.0556,1.3618,0.0,1.0,0.3062,0.83
adult-alpha_1-beta_1-gamma_1,1571998898,67,-0.3676,0.3322,0.0,1.0,0.6998,0.67
adult-alpha_1-beta_1-gamma_1,1571998905,68,0.0143,0.701,0.0,1.0,0.6867,0.67
adult-alpha_1-beta_1-gamma_1,1571998913,69,-0.0639,0.3452,0.0,1.0,0.4091,0.83
adult-alpha_1-beta_1-gamma_1,1571998920,70,1.2616,1.4633,0.0,1.0,0.2017,1.0
adult-alpha_1-beta_1-gamma_1,1571998927,71,0.1564,0.5423,0.0,1.0,0.3859,0.83
adult-alpha_1-beta_1-gamma_1,1571998934,72,0.3402,0.6873,0.0,1.0,0.347,0.67
adult-alpha_1-beta_1-gamma_1,1571998942,73,-0.1203,0.2781,0.0,1.0,0.3984,0.83
adult-alpha_1-beta_1-gamma_1,1571998949,74,0.1182,0.316,0.0,1.0,0.1978,1.0
adult-alpha_1-beta_1-gamma_1,1571998957,75,2.9531,3.9281,0.0,1.0,0.975,0.83
adult-alpha_1-beta_1-gamma_1,1571998964,76,-0.2071,0.2813,0.0,1.0,0.4884,0.83
adult-alpha_1-beta_1-gamma_1,1571998971,77,-0.4622,0.7308,0.0,1.0,1.193,0.67
adult-alpha_1-beta_1-gamma_1,1571998979,78,-0.228,0.3583,0.0,1.0,0.5863,0.67
adult-alpha_1-beta_1-gamma_1,1571998986,79,1.1812,1.8336,0.0,1.0,0.6524,0.67
adult-alpha_1-beta_1-gamma_1,1571998993,80,2.989,3.9692,0.0,1.0,0.9802,0.67
adult-alpha_1-beta_1-gamma_1,1571999000,81,0.1839,0.4723,0.0,1.0,0.2884,1.0
adult-alpha_1-beta_1-gamma_1,1571999008,82,0.9427,1.6761,0.0,1.0,0.7335,0.67
adult-alpha_1-beta_1-gamma_1,1571999015,83,-0.1505,0.4506,0.0,1.0,0.6012,0.5
adult-alpha_1-beta_1-gamma_1,1571999022,84,0.1564,0.4054,0.0,1.0,0.249,0.83
adult-alpha_1-beta_1-gamma_1,1571999030,85,0.0517,0.5017,0.0,1.0,0.4499,0.83
