adult-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
adult-alpha_1-beta_1-gamma_1,1572000212,247,-0.1308,0.2941,0.0,1.0,0.4249,0.83
adult-alpha_1-beta_1-gamma_1,1572000220,248,0.7489,0.9424,0.0,1.0,0.1934,1.0
adult-alpha_1-beta_1-gamma_1,1572000227,249,0.246,0.4564,0.0,1.0,0.2105,1.0
adult-alpha_1-beta_1-gamma_1,1572000234,250,-0.0026,0.6391,0.0,1.0,0.6418,0.5
adult-alpha_1-beta_1-gamma_1,1572000242,251,0.0639,0.5546,0.0,1.0,0.4907,0.67
adult-alpha_1-beta_1-gamma_1,1572000249,252,-0.2822,0.4374,0.0,1.0,0.7197,0.5
adult-alpha_1-beta_1-gamma_1,1572000256,253,-0.0181,0.2917,0.0,1.0,0.3098,0.83
adult-alpha_1-beta_1-gamma_1,1572000263,254,0.0908,0.446,0.0,1.0,0.3552,1.0
adult-alpha_1-beta_1-gamma_1,1572000271,255,0.7565,1.1384,0.0,1.0,0.3819,0.83
adult-alpha_1-beta_1-gamma_1,1572000278,256,0.1185,0.6034,0.0,1.0,0.4849,0.67
adult-alpha_1-beta_1-gamma_1,1572000285,257,0.1243,0.3724,0.0,1.0,0.2481,1.0
adult-alpha_1-beta_1-gamma_1,1572000293,258,-0.0884,0.6618,0.0,1.0,0.7502,0.5
adult-alpha_1-beta_1-gamma_1,1572000300,259,-0.0444,0.4617,0.0,1.0,0.5061,0.83
adult-alpha_1-beta_1-gamma_1,1572000307,260,-0.4118,0.3895,0.0,1.0,0.8013,0.67
adult-alpha_1-beta_1-gamma_1,1572000315,261,0.1365,0.7684,0.0,1.0,0.6319,0.67
adult-alpha_1-beta_1-gamma_1,1572000322,262,0.7145,1.0601,0.0,1.0,0.3456,0.83
adult-alpha_1-beta_1-gamma_1,1572000329,263,-0.6722,0.4407,0.0,1.0,1.1129,0.33
adult-alpha_1-beta_1-gamma_1,1572000336,264,0.5276,0.9673,0.0,1.0,0.4396,0.67
adult-alpha_1-beta_1-gamma_1,1572000344,265,0.0265,0.3411,0.0,1.0,0.3147,1.0
adult-alpha_1-beta_1-gamma_1,1572000351,266,0.1666,0.7649,0.0,1.0,0.5983,0.83
adult-alpha_1-beta_1-gamma_1,1572000358,267,-0.0871,0.5037,0.0,1.0,0.5907,0.67
adult-alpha_1-beta_1-gamma_1,1572000365,268,0.7612,0.9722,0.0,1.0,0.2109,1.0
adult-alpha_1-beta_1-gamma_1,1572000372,269,0.2109,0.3918,0.0,1.0,0.181,1.0
adult-alpha_1-beta_1-gamma_1,1572000380,270,0.116,0.5855,0.0,1.0,0.4694,0.67
adult-alpha_1-beta_1-gamma_1,1572000387,271,0.3443,0.4998,0.0,1.0,0.1554,1.0
adult-alpha_1-beta_1-gamma_1,1572000394,272,-0.2523,0.5866,0.0,1.0,0.8389,0.83
adult-alpha_1-beta_1-gamma_1,1572000401,273,0.457,0.927,0.0,1.0,0.4699,0.67
adult-alpha_1-beta_1-gamma_1,1572000409,274,-0.0197,0.5144,0.0,1.0,0.5341,0.67
adult-alpha_1-beta_1-gamma_1,1572000416,275,2.0837,2.7344,0.0,1.0,0.6507,0.83
adult-alpha_1-beta_1-gamma_1,1572000423,276,-0.018,0.3437,0.0,1.0,0.3617,1.0
adult-alpha_1-beta_1-gamma_1,1572000431,277,0.2864,1.0535,0.0,1.0,0.7671,0.67
adult-alpha_1-beta_1-gamma_1,1572000438,278,1.7912,2.1691,0.0,1.0,0.3779,0.83
adult-alpha_1-beta_1-gamma_1,1572000445,279,0.2139,0.5599,0.0,1.0,0.346,0.83
adult-alpha_1-beta_1-gamma_1,1572000452,280,0.2436,0.4737,0.0,1.0,0.2301,1.0
adult-alpha_1-beta_1-gamma_1,1572000460,281,3.6854,4.07,0.0,1.0,0.3846,1.0
adult-alpha_1-beta_1-gamma_1,1572000467,282,0.1271,0.487,0.0,1.0,0.3599,0.83
adult-alpha_1-beta_1-gamma_1,1572000474,283,-0.0074,0.3511,0.0,1.0,0.3585,1.0
adult-alpha_1-beta_1-gamma_1,1572000481,284,-0.1689,0.4094,0.0,1.0,0.5783,0.5
adult-alpha_1-beta_1-gamma_1,1572000489,285,-0.0124,0.343,0.0,1.0,0.3554,0.83
adult-alpha_1-beta_1-gamma_1,1572000496,286,0.0632,0.6487,0.0,1.0,0.5856,0.67
adult-alpha_1-beta_1-gamma_1,1572000504,287,-0.3406,0.6217,0.0,1.0,0.9623,0.5
adult-alpha_1-beta_1-gamma_1,1572000511,288,-0.1222,0.3281,0.0,1.0,0.4503,0.67
adult-alpha_1-beta_1-gamma_1,1572000518,289,0.1436,0.5283,0.0,1.0,0.3847,1.0
adult-alpha_1-beta_1-gamma_1,1572000526,290,-0.0062,0.4197,0.0,1.0,0.4259,0.83
adult-alpha_1-beta_1-gamma_1,1572000533,291,0.3121,0.5944,0.0,1.0,0.2823,1.0
adult-alpha_1-beta_1-gamma_1,1572000540,292,0.0122,0.4966,0.0,1.0,0.4844,0.67
adult-alpha_1-beta_1-gamma_1,1572000548,293,0.91,1.5109,0.0,1.0,0.6009,0.67
adult-alpha_1-beta_1-gamma_1,1572000555,294,0.784,1.1399,0.0,1.0,0.3559,1.0
adult-alpha_1-beta_1-gamma_1,1572000562,295,-0.0713,0.409,0.0,1.0,0.4802,0.83
adult-alpha_1-beta_1-gamma_1,1572000570,296,0.8595,1.1499,0.0,1.0,0.2904,1.0
adult-alpha_1-beta_1-gamma_1,1572000577,297,0.4948,0.9477,0.0,1.0,0.453,1.0
adult-alpha_1-beta_1-gamma_1,1572000584,298,-0.2631,0.3816,0.0,1.0,0.6447,0.67
adult-alpha_1-beta_1-gamma_1,1572000592,299,-0.0256,0.501,0.0,1.0,0.5266,0.67
adult-alpha_1-beta_1-gamma_1,1572000599,300,0.7819,1.2171,0.0,1.0,0.4352,0.83
adult-alpha_1-beta_1-gamma_1,1572000606,301,-0.212,0.2709,0.0,1.0,0.4829,0.67
adult-alpha_1-beta_1-gamma_1,1572000613,302,-0.0015,0.3504,0.0,1.0,0.3519,1.0
adult-alpha_1-beta_1-gamma_1,1572000621,303,1.011,1.3486,0.0,1.0,0.3376,0.83
adult-alpha_1-beta_1-gamma_1,1572000628,304,0.0875,0.4134,0.0,1.0,0.3259,0.83
adult-alpha_1-beta_1-gamma_1,1572000635,305,-0.3741,0.4401,0.0,1.0,0.8142,0.5
adult-alpha_1-beta_1-gamma_1,1572000643,306,0.1403,0.6302,0.0,1.0,0.4899,0.67
adult-alpha_1-beta_1-gamma_1,1572000650,307,-0.1454,0.3728,0.0,1.0,0.5182,0.83
adult-alpha_1-beta_1-gamma_1,1572000657,308,-0.4458,0.3542,0.0,1.0,0.8,0.5
adult-alpha_1-beta_1-gamma_1,1572000665,309,2.6222,2.8558,0.0,1.0,0.2336,1.0
adult-alpha_1-beta_1-gamma_1,1572000672,310,0.2879,0.5622,0.0,1.0,0.2744,0.83
adult-alpha_1-beta_1-gamma_1,1572000679,311,-0.0897,0.3948,0.0,1.0,0.4845,0.67
adult-alpha_1-beta_1-gamma_1,1572000686,312,-0.1747,0.3738,0.0,1.0,0.5485,0.67
adult-alpha_1-beta_1-gamma_1,1572000694,313,-0.1357,0.4886,0.0,1.0,0.6243,0.83
adult-alpha_1-beta_1-gamma_1,1572000701,314,-0.3682,0.4378,0.0,1.0,0.8061,0.5
adult-alpha_1-beta_1-gamma_1,1572000708,315,-0.204,0.6821,0.0,1.0,0.8861,0.33
adult-alpha_1-beta_1-gamma_1,1572000716,316,-0.2081,0.346,0.0,1.0,0.5541,0.83
adult-alpha_1-beta_1-gamma_1,1572000723,317,-0.0162,0.799,0.0,1.0,0.8152,0.5
adult-alpha_1-beta_1-gamma_1,1572000730,318,-0.2154,0.5973,0.0,1.0,0.8128,0.5
adult-alpha_1-beta_1-gamma_1,1572000738,319,-0.144,0.5343,0.0,1.0,0.6783,0.67
adult-alpha_1-beta_1-gamma_1,1572000745,320,0.261,0.3792,0.0,1.0,0.1182,1.0
adult-alpha_1-beta_1-gamma_1,1572000752,321,0.0002,0.3867,0.0,1.0,0.3866,0.83
adult-alpha_1-beta_1-gamma_1,1572000759,322,0.2391,0.6153,0.0,1.0,0.3762,0.83
adult-alpha_1-beta_1-gamma_1,1572000767,323,3.6637,4.4124,0.0,1.0,0.7487,0.67
adult-alpha_1-beta_1-gamma_1,1572000774,324,-0.0372,0.3851,0.0,1.0,0.4224,0.67
adult-alpha_1-beta_1-gamma_1,1572000781,325,-0.0939,0.4338,0.0,1.0,0.5277,0.83
adult-alpha_1-beta_1-gamma_1,1572000789,326,-0.055,0.5239,0.0,1.0,0.5789,0.67
adult-alpha_1-beta_1-gamma_1,1572000796,327,-0.1202,0.6281,0.0,1.0,0.7484,0.33
adult-alpha_1-beta_1-gamma_1,1572000803,328,0.4344,0.7015,0.0,1.0,0.2671,0.83
adult-alpha_1-beta_1-gamma_1,1572000810,329,0.0888,0.7318,0.0,1.0,0.643,0.67
adult-alpha_1-beta_1-gamma_1,1572000818,330,-0.2301,0.3845,0.0,1.0,0.6147,0.67
adult-alpha_1-beta_1-gamma_1,1572000825,331,0.4222,1.0124,0.0,1.0,0.5903,0.5
adult-alpha_1-beta_1-gamma_1,1572000833,332,0.9837,2.2064,0.0,1.0,1.2227,0.33
adult-alpha_1-beta_1-gamma_1,1572000840,333,-0.0792,0.4404,0.0,1.0,0.5196,0.67
adult-alpha_1-beta_1-gamma_1,1572000847,334,-0.2126,0.5208,0.0,1.0,0.7335,0.5
adult-alpha_1-beta_1-gamma_1,1572000854,335,0.0228,0.4922,0.0,1.0,0.4694,0.83
adult-alpha_1-beta_1-gamma_1,1572000862,336,-0.0165,0.6206,0.0,1.0,0.6371,0.67
adult-alpha_1-beta_1-gamma_1,1572000869,337,1.8317,2.4861,0.0,1.0,0.6543,0.33
adult-alpha_1-beta_1-gamma_1,1572000876,338,0.2074,0.8959,0.0,1.0,0.6885,0.67
adult-alpha_1-beta_1-gamma_1,1572000883,339,0.0969,0.3692,0.0,1.0,0.2723,1.0
adult-alpha_1-beta_1-gamma_1,1572000891,340,-0.098,0.447,0.0,1.0,0.545,0.67
adult-alpha_1-beta_1-gamma_1,1572000898,341,0.1946,0.9579,0.0,1.0,0.7633,0.83
adult-alpha_1-beta_1-gamma_1,1572000905,342,-0.6145,0.3787,0.0,1.0,0.9932,0.5
adult-alpha_1-beta_1-gamma_1,1572000913,343,-0.0644,0.5251,0.0,1.0,0.5895,0.67
adult-alpha_1-beta_1-gamma_1,1572000920,344,0.1589,0.8119,0.0,1.0,0.6529,0.67
adult-alpha_1-beta_1-gamma_1,1572000927,345,-0.0189,0.3559,0.0,1.0,0.3748,0.67
adult-alpha_1-beta_1-gamma_1,1572000935,346,4.1609,4.3409,0.0,1.0,0.18,1.0
adult-alpha_1-beta_1-gamma_1,1572000942,347,-0.2308,0.3673,0.0,1.0,0.5981,0.33
adult-alpha_1-beta_1-gamma_1,1572000949,348,0.2385,0.567,0.0,1.0,0.3285,0.83
adult-alpha_1-beta_1-gamma_1,1572000956,349,0.586,1.0014,0.0,1.0,0.4154,0.83
adult-alpha_1-beta_1-gamma_1,1572000964,350,-0.3017,0.5357,0.0,1.0,0.8375,0.5
adult-alpha_1-beta_1-gamma_1,1572000971,351,0.1865,0.483,0.0,1.0,0.2965,1.0
adult-alpha_1-beta_1-gamma_1,1572000978,352,2.4112,2.907,0.0,1.0,0.4959,0.67
adult-alpha_1-beta_1-gamma_1,1572000985,353,0.0909,0.355,0.0,1.0,0.2641,1.0
adult-alpha_1-beta_1-gamma_1,1572000993,354,-0.118,0.4814,0.0,1.0,0.5995,0.67
adult-alpha_1-beta_1-gamma_1,1572001000,355,1.2804,1.6791,0.0,1.0,0.3987,0.83
adult-alpha_1-beta_1-gamma_1,1572001007,356,1.1496,1.7979,0.0,1.0,0.6484,0.33
adult-alpha_1-beta_1-gamma_1,1572001015,357,0.1044,0.2929,0.0,1.0,0.1885,1.0
adult-alpha_1-beta_1-gamma_1,1572001022,358,-0.049,0.3252,0.0,1.0,0.3741,0.83
adult-alpha_1-beta_1-gamma_1,1572001029,359,0.1475,0.6159,0.0,1.0,0.4684,0.83
adult-alpha_1-beta_1-gamma_1,1572001037,360,-0.1494,0.3278,0.0,1.0,0.4772,0.83
adult-alpha_1-beta_1-gamma_1,1572001044,361,0.5375,0.9372,0.0,1.0,0.3997,1.0
adult-alpha_1-beta_1-gamma_1,1572001051,362,0.187,0.4512,0.0,1.0,0.2641,1.0
adult-alpha_1-beta_1-gamma_1,1572001058,363,0.1447,0.5379,0.0,1.0,0.3932,0.83
adult-alpha_1-beta_1-gamma_1,1572001066,364,0.6373,0.9052,0.0,1.0,0.2679,1.0
adult-alpha_1-beta_1-gamma_1,1572001073,365,0.1092,0.5394,0.0,1.0,0.4302,0.67
adult-alpha_1-beta_1-gamma_1,1572001080,366,0.1127,0.5602,0.0,1.0,0.4475,0.83
adult-alpha_1-beta_1-gamma_1,1572001088,367,-0.1845,0.9166,0.0,1.0,1.1011,0.5
adult-alpha_1-beta_1-gamma_1,1572001095,368,0.4225,0.966,0.0,1.0,0.5436,0.67
adult-alpha_1-beta_1-gamma_1,1572001102,369,0.3546,0.8238,0.0,1.0,0.4692,0.67
adult-alpha_1-beta_1-gamma_1,1572001110,370,-0.0724,0.3469,0.0,1.0,0.4194,0.83
adult-alpha_1-beta_1-gamma_1,1572001117,371,0.4533,1.295,0.0,1.0,0.8416,0.67
adult-alpha_1-beta_1-gamma_1,1572001124,372,-0.4526,0.3277,0.0,1.0,0.7803,0.67
adult-alpha_1-beta_1-gamma_1,1572001132,373,-0.0945,0.4823,0.0,1.0,0.5768,0.83
adult-alpha_1-beta_1-gamma_1,1572001139,374,-0.0342,0.4221,0.0,1.0,0.4563,0.67
adult-alpha_1-beta_1-gamma_1,1572001146,375,0.1348,0.5232,0.0,1.0,0.3884,0.83
adult-alpha_1-beta_1-gamma_1,1572001154,376,0.5903,1.4355,0.0,1.0,0.8453,0.33
adult-alpha_1-beta_1-gamma_1,1572001161,377,2.7203,3.2455,0.0,1.0,0.5252,0.67
adult-alpha_1-beta_1-gamma_1,1572001168,378,0.2918,1.0106,0.0,1.0,0.7188,0.5
adult-alpha_1-beta_1-gamma_1,1572001175,379,-0.1487,0.4183,0.0,1.0,0.567,0.67
adult-alpha_1-beta_1-gamma_1,1572001183,380,0.0719,0.4311,0.0,1.0,0.3592,1.0
adult-alpha_1-beta_1-gamma_1,1572001190,381,0.0664,0.4535,0.0,1.0,0.3871,0.83
adult-alpha_1-beta_1-gamma_1,1572001197,382,2.309,2.9769,0.0,1.0,0.6679,0.83
adult-alpha_1-beta_1-gamma_1,1572001205,383,0.9771,1.4413,0.0,1.0,0.4643,0.67
adult-alpha_1-beta_1-gamma_1,1572001212,384,-0.2013,0.4285,0.0,1.0,0.6298,0.67
adult-alpha_1-beta_1-gamma_1,1572001219,385,0.2857,1.1684,0.0,1.0,0.8827,0.67
adult-alpha_1-beta_1-gamma_1,1572001226,386,-0.032,0.6113,0.0,1.0,0.6433,0.67
adult-alpha_1-beta_1-gamma_1,1572001234,387,0.4607,0.8074,0.0,1.0,0.3467,0.83
adult-alpha_1-beta_1-gamma_1,1572001241,388,1.7036,1.922,0.0,1.0,0.2184,1.0
adult-alpha_1-beta_1-gamma_1,1572001248,389,-0.0528,0.5261,0.0,1.0,0.5789,0.83
adult-alpha_1-beta_1-gamma_1,1572001256,390,0.155,0.5481,0.0,1.0,0.3931,0.83
adult-alpha_1-beta_1-gamma_1,1572001263,391,-0.1565,0.3567,0.0,1.0,0.5133,0.83
adult-alpha_1-beta_1-gamma_1,1572001270,392,0.1746,0.4626,0.0,1.0,0.2881,1.0
adult-alpha_1-beta_1-gamma_1,1572001278,393,0.2735,1.0377,0.0,1.0,0.7642,0.83
adult-alpha_1-beta_1-gamma_1,1572001285,394,0.4586,0.8745,0.0,1.0,0.416,1.0
adult-alpha_1-beta_1-gamma_1,1572001292,395,0.5855,1.1801,0.0,1.0,0.5946,0.5
adult-alpha_1-beta_1-gamma_1,1572001299,396,3.1062,3.7286,0.0,1.0,0.6224,0.5
adult-alpha_1-beta_1-gamma_1,1572001307,397,0.4287,0.9524,0.0,1.0,0.5237,0.67
adult-alpha_1-beta_1-gamma_1,1572001314,398,-0.3808,0.4243,0.0,1.0,0.8051,0.67
adult-alpha_1-beta_1-gamma_1,1572001321,399,3.2898,3.7823,0.0,1.0,0.4925,0.67
adult-alpha_1-beta_1-gamma_1,1572001329,400,1.8051,2.0842,0.0,1.0,0.2791,1.0
adult-alpha_1-beta_1-gamma_1,1572001336,401,0.0957,0.5001,0.0,1.0,0.4043,1.0
adult-alpha_1-beta_1-gamma_1,1572001343,402,0.1136,0.5978,0.0,1.0,0.4842,0.83
adult-alpha_1-beta_1-gamma_1,1572001351,403,0.2344,0.524,0.0,1.0,0.2897,0.83
adult-alpha_1-beta_1-gamma_1,1572001358,404,0.5526,1.0999,0.0,1.0,0.5473,0.67
adult-alpha_1-beta_1-gamma_1,1572001365,405,0.0711,0.4994,0.0,1.0,0.4282,0.83
adult-alpha_1-beta_1-gamma_1,1572001372,406,-0.3711,0.622,0.0,1.0,0.9931,0.5
adult-alpha_1-beta_1-gamma_1,1572001380,407,-0.2598,0.2546,0.0,1.0,0.5144,0.83
adult-alpha_1-beta_1-gamma_1,1572001387,408,0.0722,0.4626,0.0,1.0,0.3904,1.0
adult-alpha_1-beta_1-gamma_1,1572001394,409,0.0693,1.2085,0.0,1.0,1.1392,0.33
adult-alpha_1-beta_1-gamma_1,1572001402,410,0.6139,1.2941,0.0,1.0,0.6801,0.5
adult-alpha_1-beta_1-gamma_1,1572001409,411,0.1672,0.5618,0.0,1.0,0.3946,0.83
adult-alpha_1-beta_1-gamma_1,1572001416,412,0.8708,1.5239,0.0,1.0,0.6531,0.5
adult-alpha_1-beta_1-gamma_1,1572001424,413,0.9429,1.7296,0.0,1.0,0.7868,0.67
adult-alpha_1-beta_1-gamma_1,1572001431,414,-0.3079,0.3594,0.0,1.0,0.6673,0.5
adult-alpha_1-beta_1-gamma_1,1572001438,415,-0.0547,0.3906,0.0,1.0,0.4453,0.67
adult-alpha_1-beta_1-gamma_1,1572001445,416,0.2969,0.7007,0.0,1.0,0.4038,1.0
adult-alpha_1-beta_1-gamma_1,1572001453,417,0.4267,0.7073,0.0,1.0,0.2806,1.0
adult-alpha_1-beta_1-gamma_1,1572001460,418,-0.3898,0.7631,0.0,1.0,1.1528,0.5
adult-alpha_1-beta_1-gamma_1,1572001467,419,-0.0703,0.827,0.0,1.0,0.8974,0.67
adult-alpha_1-beta_1-gamma_1,1572001474,420,-0.2565,0.3894,0.0,1.0,0.6458,0.5
adult-alpha_1-beta_1-gamma_1,1572001482,421,-0.6605,0.4236,0.0,1.0,1.0841,0.5
adult-alpha_1-beta_1-gamma_1,1572001489,422,0.1923,0.4747,0.0,1.0,0.2824,1.0
adult-alpha_1-beta_1-gamma_1,1572001496,423,0.459,0.8023,0.0,1.0,0.3433,0.83
adult-alpha_1-beta_1-gamma_1,1572001504,424,-0.2457,0.8546,0.0,1.0,1.1003,0.33
adult-alpha_1-beta_1-gamma_1,1572001511,425,-0.2738,0.3649,0.0,1.0,0.6387,0.67
adult-alpha_1-beta_1-gamma_1,1572001518,426,0.2356,0.6174,0.0,1.0,0.3818,0.83
adult-alpha_1-beta_1-gamma_1,1572001526,427,0.0085,0.2998,0.0,1.0,0.2913,1.0
adult-alpha_1-beta_1-gamma_1,1572001533,428,0.1596,0.4558,0.0,1.0,0.2962,1.0
adult-alpha_1-beta_1-gamma_1,1572001540,429,-0.3548,0.6179,0.0,1.0,0.9727,0.5
adult-alpha_1-beta_1-gamma_1,1572001547,430,2.2626,2.4743,0.0,1.0,0.2116,1.0
adult-alpha_1-beta_1-gamma_1,1572001555,431,0.9681,1.1833,0.0,1.0,0.2151,1.0
adult-alpha_1-beta_1-gamma_1,1572001562,432,-0.4919,0.4459,0.0,1.0,0.9378,0.33
adult-alpha_1-beta_1-gamma_1,1572001569,433,2.3237,2.8148,0.0,1.0,0.4911,0.67
adult-alpha_1-beta_1-gamma_1,1572001576,434,0.2294,0.8776,0.0,1.0,0.6482,0.5
adult-alpha_1-beta_1-gamma_1,1572001584,435,-0.0888,0.3839,0.0,1.0,0.4727,0.67
adult-alpha_1-beta_1-gamma_1,1572001591,436,0.0066,0.5566,0.0,1.0,0.5501,0.67
adult-alpha_1-beta_1-gamma_1,1572001598,437,-0.207,0.5556,0.0,1.0,0.7626,0.5
adult-alpha_1-beta_1-gamma_1,1572001606,438,-0.2352,0.3954,0.0,1.0,0.6306,0.67
adult-alpha_1-beta_1-gamma_1,1572001613,439,-0.444,0.422,0.0,1.0,0.866,0.5
adult-alpha_1-beta_1-gamma_1,1572001620,440,-0.2613,0.409,0.0,1.0,0.6702,0.5
adult-alpha_1-beta_1-gamma_1,1572001628,441,-0.0445,0.5285,0.0,1.0,0.573,0.67
adult-alpha_1-beta_1-gamma_1,1572001635,442,-0.216,0.5531,0.0,1.0,0.7691,0.67
adult-alpha_1-beta_1-gamma_1,1572001642,443,-0.0408,0.2046,0.0,1.0,0.2454,1.0
adult-alpha_1-beta_1-gamma_1,1572001650,444,-0.4522,0.8402,0.0,1.0,1.2924,0.33
adult-alpha_1-beta_1-gamma_1,1572001657,445,0.8962,1.5193,0.0,1.0,0.6231,0.67
adult-alpha_1-beta_1-gamma_1,1572001664,446,1.0688,1.5549,0.0,1.0,0.4861,0.83
adult-alpha_1-beta_1-gamma_1,1572001672,447,3.2868,3.8943,0.0,1.0,0.6076,0.67
adult-alpha_1-beta_1-gamma_1,1572001679,448,3.2845,4.0275,0.0,1.0,0.743,0.67
adult-alpha_1-beta_1-gamma_1,1572001686,449,0.1476,0.8935,0.0,1.0,0.7459,0.5
adult-alpha_1-beta_1-gamma_1,1572001694,450,0.2391,1.169,0.0,1.0,0.93,0.5
adult-alpha_1-beta_1-gamma_1,1572001701,451,0.0802,0.4255,0.0,1.0,0.3453,1.0
adult-alpha_1-beta_1-gamma_1,1572001708,452,-0.2124,0.3927,0.0,1.0,0.6051,0.67
adult-alpha_1-beta_1-gamma_1,1572001715,453,0.0572,0.3792,0.0,1.0,0.322,0.83
adult-alpha_1-beta_1-gamma_1,1572001723,454,-0.0374,0.5278,0.0,1.0,0.5653,0.83
adult-alpha_1-beta_1-gamma_1,1572001730,455,0.6912,1.3029,0.0,1.0,0.6117,0.67
adult-alpha_1-beta_1-gamma_1,1572001737,456,0.3891,0.7058,0.0,1.0,0.3167,0.83
adult-alpha_1-beta_1-gamma_1,1572001745,457,0.8676,1.248,0.0,1.0,0.3804,0.83
adult-alpha_1-beta_1-gamma_1,1572001752,458,0.1598,0.5767,0.0,1.0,0.4169,0.83
adult-alpha_1-beta_1-gamma_1,1572001759,459,0.0821,0.5502,0.0,1.0,0.4681,0.83
adult-alpha_1-beta_1-gamma_1,1572001767,460,0.0,0.3916,0.0,1.0,0.3915,1.0
adult-alpha_1-beta_1-gamma_1,1572001774,461,-0.2663,0.3247,0.0,1.0,0.591,0.5
adult-alpha_1-beta_1-gamma_1,1572001781,462,0.1202,0.6309,0.0,1.0,0.5106,0.67
adult-alpha_1-beta_1-gamma_1,1572001789,463,1.7076,1.9046,0.0,1.0,0.1971,1.0
adult-alpha_1-beta_1-gamma_1,1572001796,464,0.1497,0.7188,0.0,1.0,0.5692,0.67
adult-alpha_1-beta_1-gamma_1,1572001803,465,0.8279,1.123,0.0,1.0,0.2951,0.83
adult-alpha_1-beta_1-gamma_1,1572001810,466,-0.1534,0.4186,0.0,1.0,0.572,0.67
adult-alpha_1-beta_1-gamma_1,1572001818,467,0.0405,0.4063,0.0,1.0,0.3658,0.83
adult-alpha_1-beta_1-gamma_1,1572001825,468,0.7529,1.3461,0.0,1.0,0.5933,0.5
adult-alpha_1-beta_1-gamma_1,1572001832,469,0.5066,1.111,0.0,1.0,0.6044,0.5
adult-alpha_1-beta_1-gamma_1,1572001840,470,0.1425,0.4749,0.0,1.0,0.3324,0.83
adult-alpha_1-beta_1-gamma_1,1572001847,471,-0.0077,0.5463,0.0,1.0,0.554,0.67
adult-alpha_1-beta_1-gamma_1,1572001854,472,1.9902,2.7351,0.0,1.0,0.745,0.5
adult-alpha_1-beta_1-gamma_1,1572001862,473,0.7105,1.0676,0.0,1.0,0.3571,1.0
adult-alpha_1-beta_1-gamma_1,1572001869,474,0.1809,0.3809,0.0,1.0,0.2,1.0
adult-alpha_1-beta_1-gamma_1,1572001876,475,0.2068,0.526,0.0,1.0,0.3192,1.0
adult-alpha_1-beta_1-gamma_1,1572001884,476,0.302,0.8811,0.0,1.0,0.5791,0.5
adult-alpha_1-beta_1-gamma_1,1572001891,477,0.9077,1.5838,0.0,1.0,0.6761,0.67
adult-alpha_1-beta_1-gamma_1,1572001898,478,0.9321,1.1875,0.0,1.0,0.2554,1.0
adult-alpha_1-beta_1-gamma_1,1572001906,479,0.0599,0.3998,0.0,1.0,0.3399,1.0
adult-alpha_1-beta_1-gamma_1,1572001913,480,-0.4068,0.4849,0.0,1.0,0.8917,0.5
adult-alpha_1-beta_1-gamma_1,1572001920,481,0.093,0.4401,0.0,1.0,0.3471,1.0
adult-alpha_1-beta_1-gamma_1,1572001928,482,0.3519,0.73,0.0,1.0,0.3781,0.83
adult-alpha_1-beta_1-gamma_1,1572001935,483,-0.2512,0.4591,0.0,1.0,0.7103,0.5
adult-alpha_1-beta_1-gamma_1,1572001942,484,0.4625,1.1103,0.0,1.0,0.6477,0.5
adult-alpha_1-beta_1-gamma_1,1572001949,485,0.3479,0.7975,0.0,1.0,0.4496,0.83
adult-alpha_1-beta_1-gamma_1,1572001957,486,0.3019,0.924,0.0,1.0,0.6221,0.83
adult-alpha_1-beta_1-gamma_1,1572001964,487,-0.2921,0.3173,0.0,1.0,0.6094,0.83
adult-alpha_1-beta_1-gamma_1,1572001971,488,-0.0602,0.3972,0.0,1.0,0.4575,0.83
adult-alpha_1-beta_1-gamma_1,1572001979,489,0.2998,1.0058,0.0,1.0,0.706,0.5
adult-alpha_1-beta_1-gamma_1,1572001986,490,0.2607,0.6012,0.0,1.0,0.3405,1.0
adult-alpha_1-beta_1-gamma_1,1572001993,491,3.8977,4.3651,0.0,1.0,0.4674,0.67
adult-alpha_1-beta_1-gamma_1,1572002000,492,-0.1807,0.4947,0.0,1.0,0.6755,0.67
adult-alpha_1-beta_1-gamma_1,1572002008,493,0.24,0.5742,0.0,1.0,0.3341,1.0
adult-alpha_1-beta_1-gamma_1,1572002015,494,-0.1201,0.5001,0.0,1.0,0.6202,0.67
adult-alpha_1-beta_1-gamma_1,1572002022,495,-0.104,0.7961,0.0,1.0,0.9001,0.67
adult-alpha_1-beta_1-gamma_1,1572002030,496,0.9001,1.5224,0.0,1.0,0.6222,0.67
adult-alpha_1-beta_1-gamma_1,1572002037,497,0.2438,0.5836,0.0,1.0,0.3398,0.83
adult-alpha_1-beta_1-gamma_1,1572002044,498,-0.0336,0.3749,0.0,1.0,0.4085,0.83
adult-alpha_1-beta_1-gamma_1,1572002051,499,0.0456,0.5889,0.0,1.0,0.5433,0.5
adult-alpha_1-beta_1-gamma_1,1572002059,500,2.3319,2.8224,0.0,1.0,0.4905,0.67
adult-alpha_1-beta_1-gamma_1,1572002066,501,0.3518,0.7162,0.0,1.0,0.3644,0.83
adult-alpha_1-beta_1-gamma_1,1572002073,502,0.3537,0.8129,0.0,1.0,0.4591,0.83
adult-alpha_1-beta_1-gamma_1,1572002081,503,2.2655,2.6169,0.0,1.0,0.3515,0.83
