compas-alpha_1-beta_0.0-gamma_0.5,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_0.5,1571659943,54,0.478,0.0,0.4826,0.93,0.0046,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659943,55,0.6311,0.0,0.6456,0.6,0.0145,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659944,56,0.5751,0.0,0.5946,0.67,0.0195,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659944,57,0.6708,0.0,0.6842,0.7,0.0134,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659945,58,0.596,0.0,0.5997,0.67,0.0036,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659945,59,0.5722,0.0,0.5802,0.77,0.008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659946,60,0.7401,0.0,0.7437,0.63,0.0036,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659946,61,0.6381,0.0,0.6458,0.53,0.0077,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659947,62,0.646,0.0,0.6516,0.6,0.0056,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659947,63,0.5465,0.0,0.567,0.63,0.0205,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659948,64,0.6295,0.0,0.6317,0.63,0.0022,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659949,65,0.745,0.0,0.7493,0.47,0.0043,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659949,66,0.5111,0.0,0.5184,0.9,0.0072,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659950,67,0.6102,0.0,0.6144,0.8,0.0042,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659950,68,0.5579,0.0,0.5693,0.73,0.0114,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659951,69,0.5046,0.0,0.511,0.67,0.0064,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659951,70,0.6233,0.0,0.6385,0.53,0.0152,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659952,71,0.5648,0.0,0.5732,0.67,0.0084,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659953,72,0.61,0.0,0.6211,0.57,0.0111,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659953,73,0.6158,0.0,0.6232,0.6,0.0074,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659954,74,0.6276,0.0,0.6373,0.7,0.0097,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659954,75,0.5641,0.0,0.5718,0.8,0.0077,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659955,76,0.6108,0.0,0.6155,0.6,0.0047,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659955,77,0.6732,0.0,0.6804,0.57,0.0072,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659956,78,0.678,0.0,0.685,0.63,0.007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659956,79,0.5262,0.0,0.5274,0.73,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659957,80,0.5941,0.0,0.5986,0.63,0.0045,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659958,81,0.6414,0.0,0.6508,0.57,0.0094,1.0
