compas-alpha_1-beta_0.0-gamma_0.5,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_0.5,1571660049,237,0.5352,0.0,0.5355,0.73,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660050,238,0.6011,0.0,0.6025,0.6,0.0014,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660051,239,0.5318,0.0,0.5323,0.7,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660051,240,0.6244,0.0,0.6245,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660052,241,0.5043,0.0,0.505,0.87,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660053,242,0.7382,0.0,0.7386,0.57,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660053,243,0.6732,0.0,0.6744,0.6,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660054,244,0.6714,0.0,0.6717,0.63,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660055,245,0.6585,0.0,0.6592,0.53,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660055,246,0.7151,0.0,0.7162,0.57,0.001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660056,247,0.6348,0.0,0.6353,0.57,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660057,248,0.6093,0.0,0.6098,0.67,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660058,249,0.609,0.0,0.611,0.67,0.002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660058,250,0.5504,0.0,0.5505,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660059,251,0.6593,0.0,0.6599,0.57,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660059,252,0.5303,0.0,0.5308,0.77,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660060,253,0.5973,0.0,0.5985,0.67,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660061,254,0.5394,0.0,0.5394,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660061,255,0.6467,0.0,0.6477,0.6,0.001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660062,256,0.5279,0.0,0.5279,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660062,257,0.6076,0.0,0.6086,0.63,0.001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660063,258,0.5741,0.0,0.5741,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660063,259,0.7069,0.0,0.7085,0.57,0.0017,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660064,260,0.6713,0.0,0.6719,0.67,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660064,261,0.6018,0.0,0.6023,0.6,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660065,262,0.6828,0.0,0.6834,0.57,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660065,263,0.6531,0.0,0.6535,0.63,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660066,264,0.6291,0.0,0.6301,0.63,0.001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660066,265,0.5658,0.0,0.5664,0.7,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660067,266,0.6347,0.0,0.6351,0.67,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660068,267,0.4882,0.0,0.4885,0.77,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660068,268,0.6738,0.0,0.674,0.53,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660069,269,0.6793,0.0,0.6796,0.53,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660069,270,0.7245,0.0,0.7272,0.53,0.0027,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660070,271,0.6449,0.0,0.6451,0.63,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660070,272,0.5378,0.0,0.5386,0.77,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660071,273,0.5372,0.0,0.5379,0.7,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660071,274,0.5996,0.0,0.6001,0.67,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660072,275,0.6012,0.0,0.6047,0.63,0.0035,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660073,276,0.6648,0.0,0.6649,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660073,277,0.6609,0.0,0.6618,0.63,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660074,278,0.5605,0.0,0.5606,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660074,279,0.5937,0.0,0.5942,0.63,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660075,280,0.5544,0.0,0.5545,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660075,281,0.6929,0.0,0.6929,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660076,282,0.4942,0.0,0.4947,0.83,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660077,283,0.6078,0.0,0.6093,0.6,0.0015,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660077,284,0.6132,0.0,0.6133,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660078,285,0.7308,0.0,0.7313,0.6,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660078,286,0.7048,0.0,0.7048,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660079,287,0.7656,0.0,0.7662,0.57,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660079,288,0.6646,0.0,0.6647,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660080,289,0.6201,0.0,0.6201,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660080,290,0.7031,0.0,0.7034,0.6,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660081,291,0.6234,0.0,0.6236,0.7,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660082,292,0.4974,0.0,0.4974,0.83,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660082,293,0.6919,0.0,0.6921,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660083,294,0.5869,0.0,0.5873,0.8,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660083,295,0.5922,0.0,0.5923,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660084,296,0.657,0.0,0.6571,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660084,297,0.5781,0.0,0.5786,0.8,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660085,298,0.6362,0.0,0.6363,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660085,299,0.5921,0.0,0.5923,0.77,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660086,300,0.5811,0.0,0.5821,0.63,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660086,301,0.6123,0.0,0.6127,0.7,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660087,302,0.5819,0.0,0.5822,0.7,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660087,303,0.4897,0.0,0.4904,0.8,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660088,304,0.6176,0.0,0.618,0.67,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660088,305,0.5807,0.0,0.5814,0.77,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660089,306,0.5735,0.0,0.5737,0.67,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660090,307,0.6237,0.0,0.6244,0.63,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660090,308,0.6438,0.0,0.6439,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660091,309,0.7031,0.0,0.7033,0.6,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660091,310,0.627,0.0,0.6282,0.67,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660092,311,0.6595,0.0,0.6604,0.63,0.001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660092,312,0.597,0.0,0.5972,0.7,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660093,313,0.6078,0.0,0.6084,0.63,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660093,314,0.63,0.0,0.63,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660094,315,0.5558,0.0,0.5558,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660094,316,0.6107,0.0,0.6108,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660095,317,0.6883,0.0,0.689,0.63,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660096,318,0.5932,0.0,0.5936,0.7,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660096,319,0.5681,0.0,0.5681,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660097,320,0.6061,0.0,0.6069,0.63,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660097,321,0.5627,0.0,0.5628,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660098,322,0.6497,0.0,0.6502,0.57,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660098,323,0.584,0.0,0.584,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660099,324,0.6408,0.0,0.6408,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660099,325,0.6901,0.0,0.6901,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660100,326,0.6805,0.0,0.6814,0.57,0.001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660101,327,0.6612,0.0,0.6616,0.57,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660101,328,0.6312,0.0,0.6313,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660102,329,0.611,0.0,0.6118,0.73,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660102,330,0.6013,0.0,0.6013,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660103,331,0.6718,0.0,0.672,0.6,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660103,332,0.7354,0.0,0.7355,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660104,333,0.6111,0.0,0.6116,0.7,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660104,334,0.6132,0.0,0.6132,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660105,335,0.6599,0.0,0.6599,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660105,336,0.5483,0.0,0.5487,0.77,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660106,337,0.5226,0.0,0.5226,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660107,338,0.6681,0.0,0.6684,0.77,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660107,339,0.6004,0.0,0.6006,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660108,340,0.5431,0.0,0.5431,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660108,341,0.6567,0.0,0.6567,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660109,342,0.5731,0.0,0.5731,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660109,343,0.6839,0.0,0.6843,0.6,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660110,344,0.7006,0.0,0.7007,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660111,345,0.6962,0.0,0.697,0.67,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660111,346,0.6954,0.0,0.6955,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660112,347,0.6763,0.0,0.6768,0.63,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660112,348,0.6907,0.0,0.6909,0.6,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660113,349,0.6855,0.0,0.6858,0.63,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660113,350,0.622,0.0,0.6227,0.7,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660114,351,0.6275,0.0,0.6279,0.7,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660114,352,0.4736,0.0,0.4736,0.87,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660115,353,0.5386,0.0,0.5392,0.77,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660116,354,0.6183,0.0,0.6189,0.67,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660116,355,0.6322,0.0,0.6322,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660117,356,0.6649,0.0,0.6649,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660117,357,0.6585,0.0,0.6588,0.67,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660118,358,0.4688,0.0,0.4688,0.9,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660118,359,0.5857,0.0,0.5869,0.73,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660119,360,0.6172,0.0,0.6175,0.73,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660119,361,0.5582,0.0,0.5585,0.77,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660120,362,0.5698,0.0,0.5699,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660120,363,0.5081,0.0,0.5081,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660121,364,0.5766,0.0,0.5768,0.7,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660121,365,0.7203,0.0,0.7203,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660122,366,0.5964,0.0,0.5965,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660122,367,0.6997,0.0,0.6997,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660123,368,0.5316,0.0,0.5317,0.83,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660123,369,0.6515,0.0,0.6515,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660124,370,0.6642,0.0,0.6643,0.53,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660125,371,0.708,0.0,0.7083,0.57,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660125,372,0.6957,0.0,0.6958,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660126,373,0.6569,0.0,0.6569,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660126,374,0.5921,0.0,0.5921,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660127,375,0.6052,0.0,0.6056,0.73,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660127,376,0.6496,0.0,0.6497,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660128,377,0.6273,0.0,0.6274,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660128,378,0.5639,0.0,0.564,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660129,379,0.7611,0.0,0.7613,0.5,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660130,380,0.529,0.0,0.5292,0.8,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660130,381,0.6559,0.0,0.6559,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660131,382,0.7404,0.0,0.7406,0.47,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660131,383,0.5886,0.0,0.5887,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660132,384,0.5606,0.0,0.5606,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660132,385,0.6601,0.0,0.6602,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660133,386,0.5341,0.0,0.5341,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660134,387,0.5735,0.0,0.5738,0.73,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660134,388,0.5695,0.0,0.5696,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660135,389,0.6688,0.0,0.6698,0.57,0.001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660135,390,0.5925,0.0,0.5925,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660136,391,0.5466,0.0,0.5468,0.77,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660136,392,0.6291,0.0,0.6292,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660137,393,0.7216,0.0,0.7218,0.6,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660137,394,0.6556,0.0,0.6556,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660138,395,0.7414,0.0,0.7416,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660138,396,0.6061,0.0,0.6065,0.63,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660139,397,0.647,0.0,0.6477,0.63,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660140,398,0.5498,0.0,0.5499,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660140,399,0.536,0.0,0.5362,0.73,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660141,400,0.5571,0.0,0.5571,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660141,401,0.6334,0.0,0.6337,0.73,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660142,402,0.5845,0.0,0.5845,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660142,403,0.6972,0.0,0.6972,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660143,404,0.6232,0.0,0.6234,0.7,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660143,405,0.521,0.0,0.521,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660144,406,0.701,0.0,0.701,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660144,407,0.6326,0.0,0.6326,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660145,408,0.7935,0.0,0.7938,0.47,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660145,409,0.5814,0.0,0.5815,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660146,410,0.6576,0.0,0.6577,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660147,411,0.5805,0.0,0.5805,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660147,412,0.6031,0.0,0.6031,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660148,413,0.4585,0.0,0.4586,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660148,414,0.5886,0.0,0.5886,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660149,415,0.5531,0.0,0.5533,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660149,416,0.6432,0.0,0.6433,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660150,417,0.5812,0.0,0.5812,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660150,418,0.6635,0.0,0.6635,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660151,419,0.5997,0.0,0.5997,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660151,420,0.5711,0.0,0.5711,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660152,421,0.5453,0.0,0.5453,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660152,422,0.742,0.0,0.7422,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660153,423,0.7014,0.0,0.7014,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660154,424,0.5562,0.0,0.5564,0.8,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660154,425,0.5481,0.0,0.5484,0.73,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660155,426,0.604,0.0,0.6041,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660155,427,0.5225,0.0,0.5225,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660156,428,0.5813,0.0,0.5814,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660156,429,0.6382,0.0,0.6383,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660157,430,0.5799,0.0,0.58,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660157,431,0.6394,0.0,0.6394,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660158,432,0.57,0.0,0.5701,0.8,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660158,433,0.6351,0.0,0.6354,0.57,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660159,434,0.6645,0.0,0.6645,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660160,435,0.5409,0.0,0.5409,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660160,436,0.5861,0.0,0.5863,0.63,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660161,437,0.5339,0.0,0.534,0.73,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660162,438,0.5984,0.0,0.5984,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660163,439,0.4985,0.0,0.4985,0.83,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660164,440,0.622,0.0,0.6221,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660165,441,0.6361,0.0,0.6363,0.6,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660166,442,0.5057,0.0,0.5057,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660166,443,0.5666,0.0,0.5666,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660167,444,0.618,0.0,0.6181,0.7,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660168,445,0.6489,0.0,0.649,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660168,446,0.5837,0.0,0.5838,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660169,447,0.7003,0.0,0.7004,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660170,448,0.7054,0.0,0.7055,0.53,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660170,449,0.5722,0.0,0.5722,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660171,450,0.5557,0.0,0.5557,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660172,451,0.6486,0.0,0.6486,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660172,452,0.6288,0.0,0.6288,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660173,453,0.5538,0.0,0.554,0.73,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660174,454,0.5656,0.0,0.5657,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660174,455,0.5951,0.0,0.5951,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660175,456,0.6688,0.0,0.6689,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660176,457,0.6287,0.0,0.629,0.67,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660176,458,0.5539,0.0,0.554,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660177,459,0.4751,0.0,0.4751,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660178,460,0.5967,0.0,0.5967,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660179,461,0.5624,0.0,0.5624,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660179,462,0.6235,0.0,0.6237,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660180,463,0.6419,0.0,0.6419,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660181,464,0.7274,0.0,0.7276,0.6,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660181,465,0.4848,0.0,0.4848,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660182,466,0.5342,0.0,0.5343,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660183,467,0.5676,0.0,0.5676,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660183,468,0.71,0.0,0.71,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660184,469,0.5685,0.0,0.5685,0.83,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660185,470,0.732,0.0,0.732,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660185,471,0.5853,0.0,0.5854,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660186,472,0.6003,0.0,0.6004,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660186,473,0.6569,0.0,0.657,0.53,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660187,474,0.6277,0.0,0.6277,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660188,475,0.6705,0.0,0.6705,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660188,476,0.5836,0.0,0.5836,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660189,477,0.6491,0.0,0.6491,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660190,478,0.5589,0.0,0.5589,0.7,0.0,1.0
