compas-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_1-gamma_1,1571651081,251,0.6718,0.013,0.6599,0.57,0.001,1.0
compas-alpha_1-beta_1-gamma_1,1571651082,252,0.5443,0.0144,0.5308,0.77,0.0008,1.0
compas-alpha_1-beta_1-gamma_1,1571651082,253,0.611,0.0149,0.5985,0.67,0.0024,1.0
compas-alpha_1-beta_1-gamma_1,1571651083,254,0.5552,0.0159,0.5394,0.8,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651083,255,0.6659,0.0202,0.6477,0.6,0.0019,1.0
compas-alpha_1-beta_1-gamma_1,1571651083,256,0.5419,0.014,0.5279,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651084,257,0.6204,0.0138,0.6086,0.63,0.002,1.0
compas-alpha_1-beta_1-gamma_1,1571651084,258,0.5884,0.0144,0.5741,0.8,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651085,259,0.728,0.0228,0.7085,0.57,0.0033,1.0
compas-alpha_1-beta_1-gamma_1,1571651085,260,0.6898,0.019,0.6719,0.67,0.0011,1.0
compas-alpha_1-beta_1-gamma_1,1571651085,261,0.6152,0.0138,0.6023,0.6,0.0009,1.0
compas-alpha_1-beta_1-gamma_1,1571651086,262,0.6936,0.0115,0.6834,0.57,0.0013,1.0
compas-alpha_1-beta_1-gamma_1,1571651086,263,0.67,0.0173,0.6535,0.63,0.0008,1.0
compas-alpha_1-beta_1-gamma_1,1571651087,264,0.6428,0.0147,0.6301,0.63,0.002,1.0
compas-alpha_1-beta_1-gamma_1,1571651087,265,0.5882,0.0231,0.5664,0.7,0.0012,1.0
compas-alpha_1-beta_1-gamma_1,1571651088,266,0.6559,0.0217,0.6351,0.67,0.0009,1.0
compas-alpha_1-beta_1-gamma_1,1571651088,267,0.5049,0.0169,0.4885,0.77,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651088,268,0.6905,0.017,0.674,0.53,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651089,269,0.6965,0.0175,0.6796,0.53,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651089,270,0.737,0.0151,0.7272,0.53,0.0053,1.0
compas-alpha_1-beta_1-gamma_1,1571651090,271,0.6564,0.0117,0.6451,0.63,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651090,272,0.5504,0.0133,0.5386,0.77,0.0015,1.0
compas-alpha_1-beta_1-gamma_1,1571651090,273,0.553,0.0165,0.5379,0.7,0.0014,1.0
compas-alpha_1-beta_1-gamma_1,1571651091,274,0.6202,0.0212,0.6001,0.67,0.001,1.0
compas-alpha_1-beta_1-gamma_1,1571651091,275,0.6127,0.0149,0.6047,0.63,0.007,1.0
compas-alpha_1-beta_1-gamma_1,1571651092,276,0.6798,0.0152,0.6649,0.63,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651092,277,0.6772,0.0173,0.6618,0.63,0.0018,1.0
compas-alpha_1-beta_1-gamma_1,1571651092,278,0.5725,0.0122,0.5606,0.8,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651093,279,0.6094,0.0163,0.5942,0.63,0.0011,1.0
compas-alpha_1-beta_1-gamma_1,1571651093,280,0.569,0.0147,0.5545,0.73,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651094,281,0.7068,0.0139,0.6929,0.5,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651094,282,0.5122,0.0187,0.4947,0.83,0.0012,1.0
compas-alpha_1-beta_1-gamma_1,1571651094,283,0.6231,0.0168,0.6093,0.6,0.003,1.0
compas-alpha_1-beta_1-gamma_1,1571651095,284,0.6279,0.0147,0.6133,0.67,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651095,285,0.7456,0.0154,0.7313,0.6,0.001,1.0
compas-alpha_1-beta_1-gamma_1,1571651096,286,0.7218,0.017,0.7048,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651096,287,0.7812,0.0162,0.7662,0.57,0.0012,1.0
compas-alpha_1-beta_1-gamma_1,1571651096,288,0.6828,0.0184,0.6647,0.63,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651097,289,0.6378,0.0177,0.6201,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651097,290,0.7256,0.0227,0.7034,0.6,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651098,291,0.6403,0.0172,0.6236,0.7,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651098,292,0.513,0.0157,0.4974,0.83,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651098,293,0.709,0.0173,0.6921,0.57,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651099,294,0.5982,0.0117,0.5873,0.8,0.0008,1.0
compas-alpha_1-beta_1-gamma_1,1571651099,295,0.6119,0.0198,0.5923,0.7,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651100,296,0.6702,0.0132,0.6571,0.67,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651100,297,0.5864,0.0087,0.5786,0.8,0.0009,1.0
compas-alpha_1-beta_1-gamma_1,1571651100,298,0.6486,0.0125,0.6363,0.6,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651101,299,0.6057,0.0138,0.5923,0.77,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651101,300,0.5929,0.0129,0.5821,0.63,0.0021,1.0
compas-alpha_1-beta_1-gamma_1,1571651102,301,0.6285,0.0165,0.6127,0.7,0.0007,1.0
compas-alpha_1-beta_1-gamma_1,1571651102,302,0.6046,0.0229,0.5822,0.7,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651102,303,0.5036,0.0145,0.4904,0.8,0.0013,1.0
compas-alpha_1-beta_1-gamma_1,1571651103,304,0.6363,0.0191,0.618,0.67,0.0007,1.0
compas-alpha_1-beta_1-gamma_1,1571651103,305,0.5952,0.0151,0.5814,0.77,0.0013,1.0
compas-alpha_1-beta_1-gamma_1,1571651103,306,0.5929,0.0196,0.5737,0.67,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651104,307,0.6364,0.0133,0.6244,0.63,0.0013,1.0
compas-alpha_1-beta_1-gamma_1,1571651104,308,0.6627,0.0189,0.6439,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651105,309,0.7138,0.011,0.7033,0.6,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651105,310,0.6423,0.0166,0.6282,0.67,0.0024,1.0
compas-alpha_1-beta_1-gamma_1,1571651106,311,0.6785,0.02,0.6604,0.63,0.0019,1.0
compas-alpha_1-beta_1-gamma_1,1571651106,312,0.6133,0.0165,0.5972,0.7,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651106,313,0.6257,0.0185,0.6084,0.63,0.0013,1.0
compas-alpha_1-beta_1-gamma_1,1571651107,314,0.6507,0.0207,0.63,0.67,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651107,315,0.5754,0.0197,0.5558,0.73,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651108,316,0.6369,0.0264,0.6108,0.7,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651108,317,0.7069,0.0192,0.689,0.63,0.0013,1.0
compas-alpha_1-beta_1-gamma_1,1571651108,318,0.6142,0.0213,0.5936,0.7,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651109,319,0.5873,0.0193,0.5681,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651109,320,0.617,0.0117,0.6069,0.63,0.0016,1.0
compas-alpha_1-beta_1-gamma_1,1571651110,321,0.5858,0.0231,0.5628,0.83,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651110,322,0.6662,0.017,0.6502,0.57,0.001,1.0
compas-alpha_1-beta_1-gamma_1,1571651110,323,0.5995,0.0155,0.584,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651111,324,0.6526,0.0118,0.6408,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651111,325,0.7081,0.0181,0.6901,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651112,326,0.6915,0.012,0.6814,0.57,0.0019,1.0
compas-alpha_1-beta_1-gamma_1,1571651112,327,0.6773,0.0165,0.6616,0.57,0.0007,1.0
compas-alpha_1-beta_1-gamma_1,1571651112,328,0.645,0.0138,0.6313,0.67,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651113,329,0.6286,0.0185,0.6118,0.73,0.0017,1.0
compas-alpha_1-beta_1-gamma_1,1571651113,330,0.6168,0.0155,0.6013,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651114,331,0.6816,0.01,0.672,0.6,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651114,332,0.7544,0.0191,0.7355,0.6,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651114,333,0.6233,0.0127,0.6116,0.7,0.001,1.0
compas-alpha_1-beta_1-gamma_1,1571651115,334,0.6335,0.0203,0.6132,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651115,335,0.6785,0.0187,0.6599,0.57,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651116,336,0.5581,0.0102,0.5487,0.77,0.0008,1.0
compas-alpha_1-beta_1-gamma_1,1571651116,337,0.5392,0.0165,0.5226,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651116,338,0.6842,0.0165,0.6684,0.77,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651117,339,0.6121,0.0118,0.6006,0.67,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651117,340,0.5595,0.0164,0.5431,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651118,341,0.6742,0.0176,0.6567,0.63,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651118,342,0.5904,0.0174,0.5731,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651118,343,0.6969,0.0134,0.6843,0.6,0.0008,1.0
compas-alpha_1-beta_1-gamma_1,1571651119,344,0.7142,0.0135,0.7007,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651119,345,0.7145,0.019,0.697,0.67,0.0015,1.0
compas-alpha_1-beta_1-gamma_1,1571651120,346,0.7113,0.0159,0.6955,0.67,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651120,347,0.6995,0.0236,0.6768,0.63,0.001,1.0
compas-alpha_1-beta_1-gamma_1,1571651120,348,0.7078,0.0174,0.6909,0.6,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651121,349,0.696,0.0108,0.6858,0.63,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651121,350,0.6448,0.0234,0.6227,0.7,0.0013,1.0
compas-alpha_1-beta_1-gamma_1,1571651122,351,0.643,0.0158,0.6279,0.7,0.0008,1.0
compas-alpha_1-beta_1-gamma_1,1571651122,352,0.493,0.0194,0.4736,0.87,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651122,353,0.562,0.024,0.5392,0.77,0.0011,1.0
compas-alpha_1-beta_1-gamma_1,1571651123,354,0.6336,0.0159,0.6189,0.67,0.0011,1.0
compas-alpha_1-beta_1-gamma_1,1571651123,355,0.6421,0.0099,0.6322,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651124,356,0.6789,0.014,0.6649,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651124,357,0.6746,0.0165,0.6588,0.67,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651124,358,0.4828,0.014,0.4688,0.9,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651125,359,0.607,0.0225,0.5869,0.73,0.0023,1.0
compas-alpha_1-beta_1-gamma_1,1571651125,360,0.6376,0.0207,0.6175,0.73,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651126,361,0.5727,0.0148,0.5585,0.77,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651126,362,0.5855,0.0157,0.5699,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651126,363,0.5188,0.0107,0.5081,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651127,364,0.5899,0.0134,0.5768,0.7,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651127,365,0.7387,0.0184,0.7203,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651128,366,0.6083,0.012,0.5965,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651128,367,0.7172,0.0175,0.6997,0.47,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651128,368,0.5562,0.0247,0.5317,0.83,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651129,369,0.668,0.0166,0.6515,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651129,370,0.6789,0.0149,0.6643,0.53,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651130,371,0.725,0.0173,0.7083,0.57,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651130,372,0.7165,0.0208,0.6958,0.53,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651130,373,0.6789,0.022,0.6569,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651131,374,0.6068,0.0147,0.5921,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651131,375,0.6228,0.0179,0.6056,0.73,0.0007,1.0
compas-alpha_1-beta_1-gamma_1,1571651132,376,0.665,0.0154,0.6497,0.6,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651132,377,0.6444,0.0171,0.6274,0.67,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651132,378,0.5744,0.0106,0.564,0.67,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651133,379,0.7814,0.0204,0.7613,0.5,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651133,380,0.544,0.0153,0.5292,0.8,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651134,381,0.6745,0.0186,0.6559,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651134,382,0.7585,0.0183,0.7406,0.47,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651135,383,0.6067,0.0181,0.5887,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651135,384,0.5807,0.0202,0.5606,0.67,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651135,385,0.6789,0.0189,0.6602,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651136,386,0.5461,0.012,0.5341,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651136,387,0.5886,0.0154,0.5738,0.73,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651137,388,0.5811,0.0116,0.5696,0.8,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651137,389,0.6861,0.0183,0.6698,0.57,0.002,1.0
compas-alpha_1-beta_1-gamma_1,1571651138,390,0.6083,0.0158,0.5925,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651138,391,0.5574,0.011,0.5468,0.77,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651138,392,0.6429,0.0139,0.6292,0.63,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651139,393,0.7385,0.0171,0.7218,0.6,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651139,394,0.6707,0.0152,0.6556,0.63,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651139,395,0.7605,0.0193,0.7416,0.57,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651140,396,0.6159,0.0102,0.6065,0.63,0.0007,1.0
compas-alpha_1-beta_1-gamma_1,1571651140,397,0.6721,0.0258,0.6477,0.63,0.0015,1.0
compas-alpha_1-beta_1-gamma_1,1571651141,398,0.5688,0.019,0.5499,0.8,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651141,399,0.5541,0.0183,0.5362,0.73,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651141,400,0.5689,0.0118,0.5571,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651142,401,0.6495,0.0165,0.6337,0.73,0.0007,1.0
compas-alpha_1-beta_1-gamma_1,1571651142,402,0.596,0.0115,0.5845,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651143,403,0.7152,0.0182,0.6972,0.6,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651143,404,0.6417,0.0187,0.6234,0.7,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651143,405,0.5339,0.0129,0.521,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651144,406,0.7149,0.0139,0.701,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651144,407,0.6493,0.0167,0.6326,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651145,408,0.8087,0.0157,0.7938,0.47,0.0008,1.0
compas-alpha_1-beta_1-gamma_1,1571651145,409,0.5997,0.0184,0.5815,0.57,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651145,410,0.6742,0.0167,0.6577,0.63,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651146,411,0.5948,0.0144,0.5805,0.73,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651146,412,0.617,0.0139,0.6031,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651147,413,0.475,0.0165,0.4586,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651147,414,0.607,0.0185,0.5886,0.73,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651147,415,0.5632,0.0102,0.5533,0.77,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651148,416,0.6659,0.0228,0.6433,0.63,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651148,417,0.5958,0.0146,0.5812,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651149,418,0.6787,0.0153,0.6635,0.63,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651149,419,0.6204,0.0207,0.5997,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651149,420,0.5827,0.0116,0.5711,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651150,421,0.5621,0.0168,0.5453,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651150,422,0.755,0.0132,0.7422,0.57,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651151,423,0.718,0.0166,0.7014,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651151,424,0.5637,0.0078,0.5564,0.8,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651151,425,0.5675,0.0197,0.5484,0.73,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651152,426,0.627,0.0231,0.6041,0.7,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651152,427,0.5435,0.0209,0.5225,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651153,428,0.5994,0.0182,0.5814,0.77,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651153,429,0.6498,0.0116,0.6383,0.57,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651153,430,0.5973,0.0176,0.58,0.73,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651154,431,0.657,0.0176,0.6394,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651154,432,0.5843,0.0145,0.5701,0.8,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651154,433,0.6531,0.0183,0.6354,0.57,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651155,434,0.6811,0.0166,0.6645,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651155,435,0.5598,0.0189,0.5409,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651156,436,0.5989,0.013,0.5863,0.63,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651156,437,0.5476,0.0139,0.534,0.73,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651156,438,0.6173,0.0189,0.5984,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651157,439,0.5123,0.0139,0.4985,0.83,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651157,440,0.6332,0.0113,0.6221,0.67,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651158,441,0.6528,0.017,0.6363,0.6,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651158,442,0.5194,0.0136,0.5057,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651158,443,0.5791,0.0126,0.5666,0.73,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651159,444,0.6302,0.0124,0.6181,0.7,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651159,445,0.6636,0.0147,0.649,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651159,446,0.5988,0.0152,0.5838,0.7,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651160,447,0.7128,0.0125,0.7004,0.57,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651160,448,0.7264,0.021,0.7055,0.53,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651161,449,0.5887,0.0166,0.5722,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651161,450,0.5727,0.017,0.5557,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651161,451,0.6704,0.0219,0.6486,0.73,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651162,452,0.6377,0.009,0.6288,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651162,453,0.569,0.0154,0.554,0.73,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651163,454,0.5928,0.0273,0.5657,0.73,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651163,455,0.6108,0.0157,0.5951,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651164,456,0.6832,0.0145,0.6689,0.57,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651164,457,0.6498,0.0213,0.629,0.67,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651164,458,0.5704,0.0165,0.554,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651165,459,0.4875,0.0125,0.4751,0.8,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651165,460,0.6136,0.017,0.5967,0.67,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651166,461,0.5761,0.0138,0.5624,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651166,462,0.6416,0.0183,0.6237,0.6,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651166,463,0.6603,0.0185,0.6419,0.6,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651167,464,0.7394,0.0122,0.7276,0.6,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651167,465,0.5003,0.0156,0.4848,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651168,466,0.5538,0.0196,0.5343,0.77,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651168,467,0.5787,0.0111,0.5676,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651168,468,0.7236,0.0137,0.71,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651169,469,0.5833,0.0149,0.5685,0.83,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651169,470,0.7536,0.0217,0.732,0.47,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651170,471,0.601,0.0157,0.5854,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651170,472,0.619,0.0187,0.6004,0.63,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651170,473,0.6748,0.018,0.657,0.53,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651171,474,0.6471,0.0194,0.6277,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651171,475,0.6859,0.0153,0.6705,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651172,476,0.6029,0.0194,0.5836,0.77,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651172,477,0.6645,0.0154,0.6491,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651172,478,0.5754,0.0165,0.5589,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651173,479,0.6235,0.0149,0.6087,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651173,480,0.6907,0.0098,0.681,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651174,481,0.5295,0.0191,0.5106,0.83,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651174,482,0.5866,0.019,0.5677,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651174,483,0.5656,0.0182,0.5476,0.8,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651175,484,0.6334,0.0169,0.6167,0.63,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651175,485,0.6418,0.0124,0.6294,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651176,486,0.6375,0.019,0.6185,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651176,487,0.6748,0.0247,0.6503,0.57,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651176,488,0.6645,0.0153,0.6492,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651177,489,0.782,0.0138,0.7684,0.5,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651177,490,0.7484,0.0129,0.7355,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651178,491,0.6911,0.015,0.676,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651178,492,0.6815,0.0154,0.6662,0.6,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651178,493,0.5629,0.013,0.5499,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651179,494,0.6319,0.0124,0.6196,0.67,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651179,495,0.684,0.0219,0.6621,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651180,496,0.705,0.0276,0.6774,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651180,497,0.6404,0.0255,0.6152,0.7,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651180,498,0.5638,0.0154,0.5484,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651181,499,0.6035,0.0134,0.5904,0.7,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651181,500,0.6796,0.0188,0.6608,0.63,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651182,501,0.5833,0.0168,0.5666,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651182,502,0.6888,0.0146,0.6742,0.67,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651182,503,0.6005,0.0156,0.5849,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651183,504,0.6437,0.0162,0.6275,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651183,505,0.7372,0.0215,0.7159,0.57,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651184,506,0.6288,0.0122,0.6168,0.73,0.0002,1.0
