compas-alpha_1-beta_0.0-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_1,1571659080,242,0.7378,0.0,0.7386,0.57,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659080,243,0.6721,0.0,0.6744,0.6,0.0023,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659081,244,0.6711,0.0,0.6717,0.63,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659081,245,0.6578,0.0,0.6592,0.53,0.0014,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659081,246,0.7141,0.0,0.7162,0.57,0.0021,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659082,247,0.6342,0.0,0.6353,0.57,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659082,248,0.6088,0.0,0.6098,0.67,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659083,249,0.6069,0.0,0.611,0.67,0.0041,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659083,250,0.5504,0.0,0.5505,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659083,251,0.6588,0.0,0.6599,0.57,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659084,252,0.5299,0.0,0.5308,0.77,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659084,253,0.5961,0.0,0.5985,0.67,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659084,254,0.5393,0.0,0.5394,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659085,255,0.6457,0.0,0.6477,0.6,0.0019,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659085,256,0.5279,0.0,0.5279,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659085,257,0.6066,0.0,0.6086,0.63,0.002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659086,258,0.574,0.0,0.5741,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659086,259,0.7052,0.0,0.7085,0.57,0.0033,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659087,260,0.6707,0.0,0.6719,0.67,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659087,261,0.6014,0.0,0.6023,0.6,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659087,262,0.6821,0.0,0.6834,0.57,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659088,263,0.6528,0.0,0.6535,0.63,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659088,264,0.6281,0.0,0.6301,0.63,0.002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659088,265,0.5652,0.0,0.5664,0.7,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659089,266,0.6342,0.0,0.6351,0.67,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659089,267,0.488,0.0,0.4885,0.77,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659089,268,0.6735,0.0,0.674,0.53,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659090,269,0.679,0.0,0.6796,0.53,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659090,270,0.7218,0.0,0.7272,0.53,0.0053,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659091,271,0.6447,0.0,0.6451,0.63,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659091,272,0.537,0.0,0.5386,0.77,0.0015,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659091,273,0.5365,0.0,0.5379,0.7,0.0014,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659092,274,0.599,0.0,0.6001,0.67,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659092,275,0.5977,0.0,0.6047,0.63,0.007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659092,276,0.6646,0.0,0.6649,0.63,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659093,277,0.6599,0.0,0.6618,0.63,0.0018,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659093,278,0.5604,0.0,0.5606,0.8,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659093,279,0.5931,0.0,0.5942,0.63,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659094,280,0.5543,0.0,0.5545,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659094,281,0.6929,0.0,0.6929,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659095,282,0.4936,0.0,0.4947,0.83,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659095,283,0.6063,0.0,0.6093,0.6,0.003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659095,284,0.6132,0.0,0.6133,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659096,285,0.7302,0.0,0.7313,0.6,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659096,286,0.7048,0.0,0.7048,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659096,287,0.765,0.0,0.7662,0.57,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659097,288,0.6645,0.0,0.6647,0.63,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659097,289,0.6201,0.0,0.6201,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659097,290,0.7028,0.0,0.7034,0.6,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659098,291,0.6231,0.0,0.6236,0.7,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659098,292,0.4973,0.0,0.4974,0.83,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659099,293,0.6917,0.0,0.6921,0.57,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659099,294,0.5864,0.0,0.5873,0.8,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659099,295,0.5921,0.0,0.5923,0.7,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659100,296,0.657,0.0,0.6571,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659100,297,0.5777,0.0,0.5786,0.8,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659100,298,0.6361,0.0,0.6363,0.6,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659101,299,0.5919,0.0,0.5923,0.77,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659101,300,0.58,0.0,0.5821,0.63,0.0021,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659101,301,0.612,0.0,0.6127,0.7,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659102,302,0.5817,0.0,0.5822,0.7,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659102,303,0.4891,0.0,0.4904,0.8,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659103,304,0.6173,0.0,0.618,0.67,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659103,305,0.5801,0.0,0.5814,0.77,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659103,306,0.5733,0.0,0.5737,0.67,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659104,307,0.6231,0.0,0.6244,0.63,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659104,308,0.6438,0.0,0.6439,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659104,309,0.7029,0.0,0.7033,0.6,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659105,310,0.6258,0.0,0.6282,0.67,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659105,311,0.6585,0.0,0.6604,0.63,0.0019,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659105,312,0.5969,0.0,0.5972,0.7,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659106,313,0.6071,0.0,0.6084,0.63,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659106,314,0.63,0.0,0.63,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659106,315,0.5557,0.0,0.5558,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659107,316,0.6106,0.0,0.6108,0.7,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659107,317,0.6877,0.0,0.689,0.63,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659108,318,0.5929,0.0,0.5936,0.7,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659108,319,0.568,0.0,0.5681,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659108,320,0.6053,0.0,0.6069,0.63,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659109,321,0.5627,0.0,0.5628,0.83,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659109,322,0.6492,0.0,0.6502,0.57,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659109,323,0.584,0.0,0.584,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659110,324,0.6407,0.0,0.6408,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659110,325,0.69,0.0,0.6901,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659110,326,0.6795,0.0,0.6814,0.57,0.0019,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659111,327,0.6609,0.0,0.6616,0.57,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659111,328,0.6312,0.0,0.6313,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659111,329,0.6101,0.0,0.6118,0.73,0.0017,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659112,330,0.6013,0.0,0.6013,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659112,331,0.6716,0.0,0.672,0.6,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659113,332,0.7353,0.0,0.7355,0.6,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659113,333,0.6106,0.0,0.6116,0.7,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659113,334,0.6132,0.0,0.6132,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659114,335,0.6598,0.0,0.6599,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659114,336,0.5479,0.0,0.5487,0.77,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659114,337,0.5226,0.0,0.5226,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659115,338,0.6677,0.0,0.6684,0.77,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659115,339,0.6003,0.0,0.6006,0.67,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659116,340,0.5431,0.0,0.5431,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659116,341,0.6567,0.0,0.6567,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659116,342,0.573,0.0,0.5731,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659117,343,0.6835,0.0,0.6843,0.6,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659117,344,0.7006,0.0,0.7007,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659117,345,0.6955,0.0,0.697,0.67,0.0015,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659118,346,0.6953,0.0,0.6955,0.67,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659118,347,0.6758,0.0,0.6768,0.63,0.001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659118,348,0.6905,0.0,0.6909,0.6,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659119,349,0.6852,0.0,0.6858,0.63,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659119,350,0.6214,0.0,0.6227,0.7,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659119,351,0.6271,0.0,0.6279,0.7,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659120,352,0.4736,0.0,0.4736,0.87,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659120,353,0.5381,0.0,0.5392,0.77,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659121,354,0.6178,0.0,0.6189,0.67,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659121,355,0.6322,0.0,0.6322,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659121,356,0.6649,0.0,0.6649,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659122,357,0.6582,0.0,0.6588,0.67,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659122,358,0.4687,0.0,0.4688,0.9,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659122,359,0.5846,0.0,0.5869,0.73,0.0023,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659123,360,0.6169,0.0,0.6175,0.73,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659123,361,0.5579,0.0,0.5585,0.77,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659123,362,0.5698,0.0,0.5699,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659124,363,0.5081,0.0,0.5081,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659124,364,0.5764,0.0,0.5768,0.7,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659125,365,0.7203,0.0,0.7203,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659125,366,0.5964,0.0,0.5965,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659125,367,0.6997,0.0,0.6997,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659126,368,0.5315,0.0,0.5317,0.83,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659126,369,0.6515,0.0,0.6515,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659126,370,0.6641,0.0,0.6643,0.53,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659127,371,0.7077,0.0,0.7083,0.57,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659127,372,0.6957,0.0,0.6958,0.53,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659127,373,0.6569,0.0,0.6569,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659128,374,0.5921,0.0,0.5921,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659128,375,0.6049,0.0,0.6056,0.73,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659128,376,0.6495,0.0,0.6497,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659129,377,0.6272,0.0,0.6274,0.67,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659129,378,0.5638,0.0,0.564,0.67,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659130,379,0.761,0.0,0.7613,0.5,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659130,380,0.5288,0.0,0.5292,0.8,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659130,381,0.6559,0.0,0.6559,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659131,382,0.7402,0.0,0.7406,0.47,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659131,383,0.5886,0.0,0.5887,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659131,384,0.5606,0.0,0.5606,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659132,385,0.6601,0.0,0.6602,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659132,386,0.5341,0.0,0.5341,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659132,387,0.5732,0.0,0.5738,0.73,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659133,388,0.5695,0.0,0.5696,0.8,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659133,389,0.6678,0.0,0.6698,0.57,0.002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659134,390,0.5925,0.0,0.5925,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659134,391,0.5463,0.0,0.5468,0.77,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659134,392,0.6289,0.0,0.6292,0.63,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659135,393,0.7214,0.0,0.7218,0.6,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659135,394,0.6555,0.0,0.6556,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659135,395,0.7411,0.0,0.7416,0.57,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659136,396,0.6058,0.0,0.6065,0.63,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659136,397,0.6462,0.0,0.6477,0.63,0.0015,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659136,398,0.5498,0.0,0.5499,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659137,399,0.5358,0.0,0.5362,0.73,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659137,400,0.5571,0.0,0.5571,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659137,401,0.633,0.0,0.6337,0.73,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659138,402,0.5845,0.0,0.5845,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659138,403,0.6971,0.0,0.6972,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659139,404,0.623,0.0,0.6234,0.7,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659139,405,0.521,0.0,0.521,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659139,406,0.701,0.0,0.701,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659140,407,0.6326,0.0,0.6326,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659140,408,0.7931,0.0,0.7938,0.47,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659140,409,0.5813,0.0,0.5815,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659141,410,0.6575,0.0,0.6577,0.63,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659141,411,0.5804,0.0,0.5805,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659141,412,0.603,0.0,0.6031,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659142,413,0.4585,0.0,0.4586,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659142,414,0.5885,0.0,0.5886,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659142,415,0.553,0.0,0.5533,0.77,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659143,416,0.6432,0.0,0.6433,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659143,417,0.5812,0.0,0.5812,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659144,418,0.6634,0.0,0.6635,0.63,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659144,419,0.5997,0.0,0.5997,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659144,420,0.5711,0.0,0.5711,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659145,421,0.5453,0.0,0.5453,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659145,422,0.7417,0.0,0.7422,0.57,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659145,423,0.7014,0.0,0.7014,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659146,424,0.556,0.0,0.5564,0.8,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659146,425,0.5478,0.0,0.5484,0.73,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659146,426,0.6039,0.0,0.6041,0.7,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659147,427,0.5225,0.0,0.5225,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659147,428,0.5812,0.0,0.5814,0.77,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659147,429,0.6382,0.0,0.6383,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659148,430,0.5797,0.0,0.58,0.73,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659148,431,0.6394,0.0,0.6394,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659149,432,0.5698,0.0,0.5701,0.8,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659149,433,0.6349,0.0,0.6354,0.57,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659149,434,0.6645,0.0,0.6645,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659150,435,0.5409,0.0,0.5409,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659150,436,0.5859,0.0,0.5863,0.63,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659150,437,0.5337,0.0,0.534,0.73,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659151,438,0.5983,0.0,0.5984,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659151,439,0.4984,0.0,0.4985,0.83,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659151,440,0.6219,0.0,0.6221,0.67,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659152,441,0.6359,0.0,0.6363,0.6,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659152,442,0.5057,0.0,0.5057,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659152,443,0.5665,0.0,0.5666,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659153,444,0.6178,0.0,0.6181,0.7,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659153,445,0.6489,0.0,0.649,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659154,446,0.5836,0.0,0.5838,0.7,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659154,447,0.7002,0.0,0.7004,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659154,448,0.7053,0.0,0.7055,0.53,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659155,449,0.5721,0.0,0.5722,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659155,450,0.5557,0.0,0.5557,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659155,451,0.6485,0.0,0.6486,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659156,452,0.6288,0.0,0.6288,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659156,453,0.5536,0.0,0.554,0.73,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659156,454,0.5655,0.0,0.5657,0.73,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659157,455,0.5951,0.0,0.5951,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659157,456,0.6687,0.0,0.6689,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659157,457,0.6285,0.0,0.629,0.67,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659158,458,0.5539,0.0,0.554,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659158,459,0.475,0.0,0.4751,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659159,460,0.5966,0.0,0.5967,0.67,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659159,461,0.5624,0.0,0.5624,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659159,462,0.6234,0.0,0.6237,0.6,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659160,463,0.6418,0.0,0.6419,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659160,464,0.7273,0.0,0.7276,0.6,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659160,465,0.4848,0.0,0.4848,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659161,466,0.5342,0.0,0.5343,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659161,467,0.5676,0.0,0.5676,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659161,468,0.71,0.0,0.71,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659162,469,0.5684,0.0,0.5685,0.83,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659162,470,0.732,0.0,0.732,0.47,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659163,471,0.5853,0.0,0.5854,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659163,472,0.6002,0.0,0.6004,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659163,473,0.6568,0.0,0.657,0.53,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659164,474,0.6277,0.0,0.6277,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659164,475,0.6705,0.0,0.6705,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659164,476,0.5835,0.0,0.5836,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659165,477,0.6491,0.0,0.6491,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659165,478,0.5589,0.0,0.5589,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659165,479,0.6086,0.0,0.6087,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659166,480,0.6809,0.0,0.681,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659166,481,0.5104,0.0,0.5106,0.83,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659166,482,0.5677,0.0,0.5677,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659167,483,0.5474,0.0,0.5476,0.8,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659167,484,0.6165,0.0,0.6167,0.63,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659168,485,0.6294,0.0,0.6294,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659168,486,0.6185,0.0,0.6185,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659168,487,0.6501,0.0,0.6503,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659169,488,0.6492,0.0,0.6492,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659169,489,0.7683,0.0,0.7684,0.5,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659169,490,0.7355,0.0,0.7355,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659170,491,0.676,0.0,0.676,0.63,0.0,1.0
